date	Power Load (kW)
0:00	1.527830281
0:15	1.461605531
0:30	1.329346094
0:45	1.181792404
1:00	1.150158254
1:15	1.177524276
1:30	1.204676188
1:45	1.139588582
2:00	1.053977076
2:15	1.105527289
2:30	1.068181065
2:45	1.056084794
3:00	1.079815913
3:15	1.00496939
3:30	1.016509414
3:45	1.013350735
4:00	1.054744873
4:15	0.996574324
4:30	1.159004594
4:45	1.099166268
5:00	1.545320562
5:15	1.670753876
5:30	1.62096717
5:45	1.691284788
6:00	1.784379016
6:15	1.67438226
6:30	1.631934645
6:45	1.521858633
7:00	1.116438254
7:15	1.117675994
7:30	1.408604266
7:45	1.352523438
8:00	1.318541378
8:15	1.591757001
8:30	1.417369798
8:45	1.568962602
9:00	1.493213957
9:15	1.462792545
9:30	1.388174009
9:45	1.313684713
10:00	1.710167818
10:15	1.690263512
10:30	1.537453053
10:45	1.430042519
11:00	1.593062762
11:15	1.53438247
11:30	1.7143657
11:45	1.84318431
12:00	1.810938999
12:15	1.599474964
12:30	1.812842892
12:45	1.855415114
13:00	1.556684751
13:15	1.458337804
13:30	1.499104679
13:45	1.596767795
14:00	1.570021388
14:15	1.50704209
14:30	1.579865873
14:45	1.541138463
15:00	1.551411992
15:15	1.699731443
15:30	1.496630198
15:45	1.679740987
16:00	1.684712538
16:15	1.754811307
16:30	1.971515364
16:45	1.899159654
17:00	1.730600959
17:15	1.842385071
17:30	1.696240606
17:45	1.512099323
18:00	1.602690072
18:15	1.498006946
18:30	1.592508367
18:45	1.907336799
19:00	2.302170797
19:15	1.827162731
19:30	1.991546402
19:45	2.116259692
20:00	2.408332147
20:15	2.645148281
20:30	2.456097656
20:45	2.894592397
21:00	2.35453953
21:15	2.089261304
21:30	2.187157455
21:45	1.915579063
22:00	1.986623577
22:15	1.992694907
22:30	1.917927403
22:45	1.758651512
23:00	1.798398639
23:15	1.758109317
23:30	1.77503762
23:45	1.631093645
